V2	I(R3)
0.000000000000000e+00	5.098171e-07
1.000000000000000e-01	2.381461e-03
2.000000000000000e-01	4.762413e-03
3.000000000000000e-01	7.143364e-03
4.000000000000000e-01	9.524317e-03
5.000000000000000e-01	1.190527e-02
6.000000000000001e-01	1.428622e-02
7.000000000000001e-01	1.666717e-02
8.000000000000000e-01	1.904812e-02
9.000000000000000e-01	2.142907e-02
1.000000000000000e+00	2.381003e-02
1.100000000000000e+00	2.619098e-02
1.200000000000000e+00	2.857193e-02
1.300000000000000e+00	3.095288e-02
1.400000000000000e+00	3.333383e-02
1.500000000000000e+00	3.571479e-02
1.600000000000000e+00	3.809574e-02
1.700000000000000e+00	4.047669e-02
1.800000000000000e+00	4.285764e-02
1.900000000000000e+00	4.523859e-02
2.000000000000000e+00	4.761954e-02
2.100000000000000e+00	5.000050e-02
2.200000000000000e+00	5.238145e-02
2.300000000000000e+00	5.476240e-02
2.400000000000000e+00	5.714335e-02
2.500000000000000e+00	5.952431e-02
2.600000000000000e+00	6.190526e-02
2.700000000000000e+00	6.428621e-02
2.800000000000000e+00	6.666716e-02
2.900000000000000e+00	6.904811e-02
3.000000000000000e+00	7.142907e-02
3.100000000000000e+00	7.381002e-02
3.200000000000000e+00	7.619096e-02
3.300000000000000e+00	7.857192e-02
3.400000000000000e+00	8.095287e-02
3.500000000000000e+00	8.333382e-02
3.600000000000000e+00	8.571477e-02
3.700000000000000e+00	8.809572e-02
3.800000000000000e+00	9.047668e-02
3.900000000000000e+00	9.285763e-02
4.000000000000000e+00	9.523858e-02
4.100000000000001e+00	9.761953e-02
4.200000000000000e+00	1.000005e-01
4.300000000000000e+00	1.023814e-01
4.400000000000000e+00	1.047624e-01
4.500000000000000e+00	1.071433e-01
4.600000000000001e+00	1.095243e-01
4.700000000000000e+00	1.119052e-01
4.800000000000001e+00	1.142862e-01
4.900000000000000e+00	1.166671e-01
5.000000000000000e+00	1.190481e-01
